City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Newport,GB,51.5877,-2.9984,50.83,77,100,4.0,light rain
114,Lianzhou,CN,24.7811,112.3825,71.11,77,100,3.76,overcast clouds
115,Usogorsk,RU,63.4106,48.6872,25.43,93,100,7.99,overcast clouds
116,Kruisfontein,ZA,-34.0033,24.7314,80.89,50,4,2.64,clear sky
117,Gazanjyk,TM,39.2446,55.5154,50.63,55,100,11.16,overcast clouds
118,Araouane,ML,18.9048,-3.5265,78.62,9,0,10.71,clear sky
119,Arlit,NE,18.7369,7.3853,78.69,11,0,13.22,clear sky
120,Danjiangkou,CN,32.5428,111.5086,60.51,83,100,1.14,overcast clouds
121,Khatanga,RU,71.9667,102.5,-24.68,100,100,5.77,overcast clouds
122,Babushkin,RU,51.7122,105.8647,12.7,97,100,0.81,overcast clouds
123,Saskylakh,RU,71.9167,114.0833,-21.87,99,99,2.77,overcast clouds
124,Moncton,CA,46.1159,-64.8019,44.06,99,100,17.27,moderate rain
125,Marystown,CA,47.1666,-55.1483,34.86,100,100,5.01,overcast clouds
126,Yucaipa,US,34.0336,-117.0431,70.88,16,0,3.44,clear sky
127,Nobeoka,JP,32.5833,131.6667,55.11,85,100,5.32,overcast clouds
128,Vaini,TO,-21.2,-175.2,77.16,100,20,2.3,few clouds
129,Sistranda,NO,63.7256,8.834,46.36,64,100,7.61,overcast clouds
130,Sao Filipe,CV,14.8961,-24.4956,77.14,55,24,14.32,few clouds
131,Alice Springs,AU,-23.7,133.8833,60.35,51,1,4.61,clear sky
132,La Palma,US,33.8464,-118.0467,79.92,18,20,7.0,few clouds
133,Kaitangata,NZ,-46.2817,169.8464,48.16,94,15,4.61,few clouds
134,Belyy Yar,RU,53.6039,91.3903,4.89,62,0,6.71,clear sky
135,Barras,BR,-4.2444,-42.2944,80.42,78,100,3.74,overcast clouds
136,Leningradskiy,RU,69.3833,178.4167,-0.69,79,9,2.93,clear sky
137,Hilo,US,19.7297,-155.09,78.24,76,40,4.0,scattered clouds
138,Shenjiamen,CN,29.9576,122.298,57.83,94,100,20.18,overcast clouds
139,Meulaboh,ID,4.1363,96.1285,78.15,86,98,2.28,overcast clouds
140,Mar Del Plata,AR,-38.0023,-57.5575,66.22,76,0,11.5,clear sky
141,Svetlyy,RU,54.675,20.1347,24.85,51,0,4.56,clear sky
142,Chara,RU,56.9064,118.2631,-8.12,88,100,1.45,overcast clouds
143,Prince Rupert,CA,54.3161,-130.3201,42.89,75,40,4.61,scattered clouds
144,Acapulco,MX,16.8634,-99.8901,80.42,69,0,10.36,clear sky
145,Kathmandu,NP,27.7167,85.3167,59.22,82,20,0.0,few clouds
146,Asau,RO,46.4333,26.4,25.72,85,100,4.14,overcast clouds
