City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Meiganga,CM,79.29,overcast clouds,6.5167,14.3,DFR HOUSE
201,Touros,BR,82.22,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
203,Ambilobe,MG,73.38,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
206,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
209,Pangkalanbuun,ID,74.26,light rain,-2.6833,111.6167,Grand Kecubung Hotel
212,Paita,PE,81.32,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
214,Diu,IN,79.38,clear sky,20.7141,70.9822,Hotel Relax Inn
217,Cidreira,BR,71.71,scattered clouds,-30.1811,-50.2056,Hotel Castelo
218,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
220,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
221,Richards Bay,ZA,75.18,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
224,Humberto De Campos,BR,77.25,heavy intensity rain,-2.5983,-43.4611,Pousada do Cabeça
225,Antofagasta,CL,72.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
226,Merced,US,72.05,clear sky,37.1666,-120.7516,
229,Selaphum,TH,77.36,overcast clouds,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
230,Pedernales,DO,83.64,scattered clouds,18.0384,-71.744,Hotel Costa Marina
231,Marsh Harbour,BS,80.4,few clouds,26.5412,-77.0636,Abaco Beach Resort
233,Siocon,PH,78.04,broken clouds,7.7061,122.1353,ABS Hotel
234,Basco,PH,74.32,few clouds,20.4487,121.9702,Nathaniel's Lodge
237,Point Fortin,TT,84.88,scattered clouds,10.1833,-61.6833,Jus Les' Suites
238,Vicuna,CL,86.77,clear sky,-30.0319,-70.7081,Los Mosaicos
242,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
244,Padang,ID,77.88,overcast clouds,-0.9492,100.3543,Mercure Padang
246,Dharur,IN,77.27,clear sky,18.8167,76.1167,Hotel Rajmahal
248,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
250,Rosarito,MX,78.24,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
253,Sao Paulo De Olivenca,BR,71.6,overcast clouds,-3.3783,-68.8725,
260,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
262,Lazaro Cardenas,MX,81.72,clear sky,17.9583,-102.2,quinta antigua
263,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
269,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
270,Victoria,HK,74.17,scattered clouds,22.2855,114.1577,Mini Hotel Central
271,Mackay,AU,80.58,scattered clouds,-21.15,149.2,International Lodge Motel
272,Pangoa,PE,70.38,overcast clouds,-12.1167,-73.0,
275,Santa Fe,AR,82.02,clear sky,-31.6333,-60.7,Conquistador Hotel
278,Bonthe,SL,78.17,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
279,Azare,NG,80.96,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
281,Werda,BW,77.2,clear sky,-25.2667,23.2833,
283,Pedasi,PA,83.75,clear sky,7.5333,-80.0333,Selina Pedasi
289,Boda,CF,76.28,overcast clouds,4.3189,17.4695,
290,Najran,SA,72.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
291,Diffa,NE,81.07,overcast clouds,13.3154,12.6113,ProDAF/Diffa
292,Mandera,KE,87.67,overcast clouds,3.9366,41.867,Hiren Hotel Mandera
295,Ravar,IR,74.82,overcast clouds,31.2656,56.8055,computertik
299,Tezu,IN,70.88,broken clouds,27.9167,96.1667,Circuit House
312,Sokolo,ML,88.03,clear sky,14.7328,-6.1219,
315,Cabo San Lucas,MX,79.9,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
316,Samarinda,ID,74.28,light rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
317,Enugu,NG,82.81,broken clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
323,Umm Kaddadah,SD,71.62,scattered clouds,13.6017,26.6876,
327,Manggar,ID,78.44,overcast clouds,-2.8833,108.2667,Guest Hotel
332,Atar,MR,77.29,clear sky,20.5169,-13.0499,Oumou Elghoura
333,Sibolga,ID,76.14,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
336,Buala,SB,77.23,light rain,-8.145,159.5921,Maringe Lagoon Lodge
340,Ibra,OM,74.48,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
342,Mount Isa,AU,71.37,light intensity shower rain,-20.7333,139.5,ibis Styles Mt Isa Verona
344,Kang,BW,74.34,clear sky,-23.6752,22.7876,Kang Ultra Stop
346,Manokwari,ID,78.44,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
347,Taltal,CL,70.5,few clouds,-25.4,-70.4833,Residencial Karime
349,Dingle,PH,76.1,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
352,Necochea,AR,70.57,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
